"landmark_alias","landmark_fk"
"Praça Lino Cavalcante",1854
"Pousada Sudoeste",1856
"Memorial Campina Grande 150 anos",1859
"Supermercado Compre Mais",1861
"Fármacia Rede Vida",1863
"Slap",1870
"Oficina do Salgado",1871
"Santuário da Santissima Trindade",1872
"Café Desembarque",1874
"Clínica Santa Clara",1875
"Jô Fashion",1880
"Congregação Cristã do Brasil",1881
"Feira da Prata",1885
"Mercearia do Seu Basto",1887
"Coliseum Center",1888
"Riacho Marinho",1893
"Retalho de Área Verde",1895
"Vão Livre Estruturas Metálicas",1900
"Escola Arco-Íris do Saber",1906
"Residencial Dubu VI",1908
"Jetset moda masculina",1910
"Bosque da UFCG",1911
"Mini Box 774",1912
"Praça Procurador de Justiça Alcindor de Oliveira Villarin",1915
"Parque Bodocongó",1916
"Niscar",1923
"Central de Laboratórios do DEE (UFCG)",1925
"Açude da Fazenda Cafundó",1927
"Hospital da FAP",1928
"Cabana's Burguer",1931
"EMPASA - Empresa Paraibana de Abastecimento e Serviços Agrícolas",1932
"Minibox do Enoque",1937
"Bloco AO (UFCG)",1938
"Bar do Nilson",1941
"Banca do Orlando",1944
"Bloco BC (Central de Aulas - UFCG)",1946
"Casa do Encanador",1948
"Bloco CR (UFCG)",1949
"Wizard",1950
"Farmacia dias",1955
"Termoelétrica Campina Grande",1957
"Escola Estadual de Ensino Fundamental do Rosário",1958
"Escola Estadual Irmã Zuleide Porto",1959
"Banco Itaú",1962
"Farmácia Dias",1963
"Supermercado Santos",1965
"Sousa",1966
"Fechine",1967
"Escola Virgem de Lourdes - Lourdinas",1969
"Estação de Esgoto da UEPB/CAgepa",1971
"Seminário Diocesano São João Maria Vianey",1975
"Campo de Futebol do Parque da Liberdade",1981
"Praça Hilton Motta",1982
"Supermecado Econômico",1983
"Rio Bodocongó",1984
"Atmosphera Residence",1985
"Cemitério José Pinheiro",1987
"Posto Shopping",1990
"Minibox Deus é Fiel",1992
"Clipsi Hospital Geral",1993
"Minibox do Enoque",1994
"Facisa Food Park",1996
"Laboratório de Redes",1997
"Praça do CA",2003
"Bloco BX (UFCG)",2004
"Extra Hipermercado",2006
"CITTA",2011
"Lara Lanches",2023
"Escola Estadual de Ensino Fundamental do Rosário",2028
"Posto Santa Ana",2037
"Bar do Cuscuz",2044
"LABDES (UFCG)",2047
"AutoClub",2049
"Bar do Alcides",2051
"Área verde",2052
"Tenda Cultural do Parque da Liberdade",2053
"Paróquia de Igreja do Rosário",2056
"Santos Dummont",2057
"Cemitério do Monte Santo",2060
"Posto Bodocongó",2064
"COMPLEXO FACISA",2069
"Rio Bodocongó",2073
"Restaurante O Lindão",2079
"Superintendência de Trânsito e Transportes Públicos",2080
"Bloco CY1 (UFCG)",2083
"Pousada Laranjeiras",2084
"Panificadora Tropical",2088
"Bloco CM (UFCG)",2090
"Bloco 1G e Bloco 2G (Cipresa)",2091
"Central da Construção",2094
"Bloco BK (UFCG)",2095
"Caixa Econômica Federal",2096
"Bloco de Mineração",2103
"Hospital João XXIII",2104
"Borracharia",2105
"Vila Forró",2114
"Condominio Residence Privê",2116
"Hiper Bompreço",2117
"Praça Augusto dos Anjos",2119
"SENAI - Centro de Educação Profissional",2127
"Forte Militar",2128
"Bolo Mania",2129
"Parque Tobias Di Pace",2130
"Savoy",2134
"Bloco D (Cipresa)",2137
"Museu de Arte Contemporânea da Paraíba",2143
"Coreto do CAA",2148
"Bloco CV1 (UFCG)",2151
"Bloco BT (UFCG)",2152
"Escola do SESI",2153
"Lanchonete",2155
"Rock Burguer",2164
"Sede dos Correios",2165
"Parque da Liberdade",2167
"Hotel do Vale",2168
"Presidente",2170
"Hotel Getúlio Vargas",2171
"Bloco BG (UFCG)",2176
"Estacionamento do Parque da Liberdade",2178
"Villa Chopp",2180
"SESC Açude Velho",2191
"Tubos Nogeueiras",2194
"4",2196
"5",2197
"Atecel - Geotecnia",2199
"Vila Jardim Continental",2205
"Parque Evaldo Cruz",2208
"Hospital Doutor Edgley",2212
"Makro - Campina Grande",2213
"Quadra de Tênis Hotel Garden",2214
"Praça da Igreja Nossa Senhora Rainha da Paz",2216
"Distribuidora da Coca-cola",2218
"Clinica Uninassau",2219
"Madeireira Planalto",2220
"Cycy Massas Finas",2224
"Praça do Coreto do laguinho",2228
"Colégio Motiva Catolé",2233
"Instituto de Saúde Elpídio de Almeida",2239
"Vila Teimosa",2240
"Clínica Santa Maria",2244
"Nutricarnes",2245
"Bloco AK (Creduni - UFCG)",2250
"Preço Bom",2254
"Bloco AH (Posto Médico - UFCG)",2260
"Recanto do Picuí",2263
"O Assadão",2267
"Praça do Trabalho",2269
"Ki-Lanches",2272
"Igreja Biblíca Semear",2273
"Monumento de Adoração à Biblía",2274
"Bloco AJ (UFCG)",2275
"Bem Barato",2278
"Canal do Prado",2281
"Terminal de Integração",2284
"Rio Bodocongó",2292
"Monumento a João Rique",2297
"Bloco BH (UFCG)",2300
"Escola Cassiano Pascoal Pereira",2301
"Casa.",2305
"Solare Empresarial",2308
"Igreja Pentecostal Evangélica da Fé",2313
"Padaria Renascer",2314
"Posto Alto da Serra",2316
"Urca Grill",2317
"Tenda Cultural do Parque da Liberdade",2319
"Santuário da Santissima Trindade",2320
